Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: OSCH Architecture: syn_black_box, 0h:00m:00s,     79 MB
work, Entity: osc00 Architecture: osc0, 0h:00m:00s,     79 MB
work, Entity: div00 Architecture: div0, 0h:00m:00s,     80 MB
work, Entity: toposc00 Architecture: toposc0, 0h:00m:00s,     80 MB
work, Entity: contring00 Architecture: contring0, 0h:00m:00s,     80 MB
work, Entity: coderk00 Architecture: coderk0, 0h:00m:00s,     80 MB
work, Entity: topkey00 Architecture: topkey0, 0h:00m:00s,     80 MB
work, Entity: muxram00 Architecture: muxram0, 0h:00m:00s,     80 MB
work, Entity: contRead00 Architecture: contread0, 0h:00m:00s,     80 MB
work, Entity: lcdcontconfig00 Architecture: lcdcontconfig0, 0h:00m:00s,     80 MB
work, Entity: lcdconfig00 Architecture: lcdconfig0, 0h:00m:00s,     80 MB
work, Entity: lcdContData00 Architecture: lcdcontdata0, 0h:00m:00s,     80 MB
work, Entity: lcdData00 Architecture: lcddata0, 0h:00m:00s,     80 MB
work, Entity: lcdmux00 Architecture: lcdmux0, 0h:00m:00s,     80 MB
work, Entity: toplcd00 Architecture: toplcd0, 0h:00m:00s,     80 MB
work, Entity: ram00 Architecture: ram0, 0h:00m:00s,     80 MB
work, Entity: topram00 Architecture: topram0, 0h:00m:00s,     80 MB
